# tools/timing/cases_l2.tsv -- Level 2 measurement cases, one per application.
#
# Tab-separated. "-" means empty (a bare empty field would be swallowed: tab is an
# IFS whitespace character, so runs of tabs collapse in `IFS=$'\\t' read`).
#
# Columns
#   app          directory under level2/
#   backend      argument passed to run.sh
#   gpus         HPCPERF_GPUS for the run
#   timeout_s    hard limit for the profiled run (nsys costs ~1.7x, see README)
#   fom_name     name of the metric the application prints itself, "-" if it has none
#   fom_unit     unit as the application states it
#   fom_better   higher | lower  (a grind time is better when lower)
#   fom_source   stdout, or a glob relative to the run cwd for a file-reported metric
#   fom_regex    python regex with exactly one capture group; the LAST match wins
#   notes        for apps without a FOM: what they do print, so it is not lost
#
# The FOM is read from the same single profiled run that produces the nsys report.
# nsys lowers it (measured on quicksilver: 5.631e6 clean vs 5.27-5.33e6 profiled,
# -5.4%..-6.4%), so every JSON carries fom_from_profiled_run=true. Do not compare
# these values against published unprofiled FOMs without that correction.
amg2023	CUDA	1	900	Figure of Merit (setup + solve)	nnz_AP/s	higher	stdout	Figure of Merit \(FOM\): nnz_AP / \(Setup Phase Time \+ Solve Phase Time\)\s+([0-9.eE+-]+)	the default case prints only this variant; other cases (problem2) also print a setup+3x-solve one, so the pattern is anchored on the 1x denominator to stay deterministic. FOM_Setup and FOM_Solve are printed separately too
branson	CUDA	1	900	Photons Per Second	photons/s	higher	stdout	Photons Per Second \(FOM\):\s*([0-9.eE+-]+)	-
cabanapic	CUDA	1	900	-	-	-	-	-	the app prints no timing at all; run.sh prints its own wall time
cloverleaf	CUDA	1	900	Average time per cell	s/cell	lower	stdout	Average time per cell\s+([0-9.eE+-]+)	grind time, printed once per step; the last one wins
comb	CUDA	1	600	-	-	-	-	-	per-phase table (number, average(s), min(s), max(s)) written to Comb_NN_summary.csv in the run cwd, NOT stdout; times only, no rate
exacmech	CUDA	1	900	-	-	-	-	-	prints 'Run time of set-up, material, and retrieve kernels over 1000 time steps is: X(s)' -- a total time, not normalized by the app
examinimd	CUDA	1	900	Atomsteps/s	atom-steps/s	higher	stdout	\|\s*[0-9.eE+-]+\s+([0-9.eE+-]+)\s+[0-9.eE+-]+\s+PERFORMANCE	value sits in the data row under the #Procs header, anchored on the PERFORMANCE marker
exampm	CUDA	1	900	-	-	-	-	-	prints only 'Time 0.25 / 1.0' progress lines; no timing whatsoever
gamess_ri_mp2	CUDA	1	900	-	-	-	-	-	prints 'Wall time (minimum/mean/maximum) = X sec'; a time, not a rate
haccabanapm	CUDA	1	1800	pm_run per-step median	s/step	lower	stdout	pm_run_timing: summary .*median_s=([0-9.eE+-]+)	upstream benchmark metric (PMKOKKOS_TIMING=1, on by default); run.sh runs pm_ic then pm_run, so one report covers both binaries
hipbone	CUDA	1	1200	NekBone FOM	GFLOPs	higher	stdout	NekBone FOM = ([0-9.eE+-]+) GFLOPs	-
kripke	CUDA	1	900	Throughput	unknowns/(s/iteration)	higher	stdout	Throughput:\s*([0-9.eE+-]+)\s*\[unknowns	the only app with an explicit 'Figures of Merit' section; also prints Grind time
laghos	CUDA	1	3600	CG (H1) rate	megadofs*cg_iterations/s	higher	stdout	CG \(H1\) rate \(megadofs x cg_iterations / second\):\s*([0-9.eE+-]+)	-
minibude	CUDA	1	900	gflop/s	GFLOP/s	higher	stdout	gflop/s:\s*([0-9.eE+-]+)	also prints giga_interactions/s and gfinst/s
miniem	CUDA	1	5400	FOM	k-cell-steps/s	higher	stdout	FOM \([^)]*\)\s*=\s*([0-9.eE+-]+)	the slowest case in the suite (README: 12-30 min)
miniweather	CUDA	1	900	-	-	-	-	-	prints 'CPU Time: X sec' only
p3_heat3d	CUDA	1	900	Bandwidth	GB/s	higher	stdout	Bandwidth:\s*([0-9.eE+-]+)\s*\[GB/s\]	also prints Flops in [GFlops]
p3_vlp4d	CUDA	1	900	-	-	-	-	-	prints a per-region timer table (total, MainLoop, advec1D_*); times only
quicksilver	CUDA	1	900	Figure Of Merit	segments/s	higher	stdout	Figure Of Merit\s+([0-9.eE+-]+)	denominator is cycleTracking only, not the wall clock; it also prints its own timer table
remhos	CUDA	1	900	FOM	-	higher	stdout	^FOM:\s+([0-9.eE+-]+)	upstream gives no unit; ^FOM: is required so the per-stage FOM RHS/INV/LO/FCT lines do not match
shaw	CUDA	1	900	aveBandwidth	GB/s	higher	stdout	aveBandwidth\(GB/s\)\s*=\s*([0-9.eE+-]+)	its '*** Compute FOM Jacobian matrices ***' line is a domain term, NOT a figure of merit. The default case reports ~4.8e4 GB/s, above this device's HBM peak, so this is an effective figure derived from an operation count, not achieved DRAM bandwidth
sw4lite	CUDA	1	900	-	-	-	-	-	prints 'Execution time, solver phase X seconds', a phase table and 'Total running time'
tealeaf	CUDA	1	900	Avg. time per cell	s/cell	lower	stdout	Avg\. time per cell:\s*([0-9.eE+-]+)	grind time, printed once per timestep; the last one wins
xsbench	CUDA	1	900	Lookups/s	lookups/s	higher	stdout	Lookups/s:\s*([0-9,]+)	the value carries thousands separators; the extractor strips commas
