# tools/timing/cases/level1.tsv -- generated by tools/timing/gen_cases.py, do not edit by hand.
# tools/timing/gen_cases.py --build-root <dir> --check   verifies this file against a build tree.
# exe/args/cwd use {REPO} (repository root) and {BUILD} (build root) placeholders; "-" = empty field.
# wrapper: direct = ctest runs the binary; verify.py = ctest runs a Python checker and this
#          row records the inner argv that checker execs (the binary is measured directly).
#app	case	exe	args	cwd	timeout_s	wrapper	pass_regex
adam	default	{BUILD}/level1/adam/adam_cuda	10000 200 100	{BUILD}/level1/adam	600	direct	PASS
aes	default	{BUILD}/level1/aes/aes_cuda	-i {BUILD}/level1/aes/data/input_1MB.hex -k {BUILD}/level1/aes/data/key.hex	{BUILD}/level1/aes	600	direct	Passed
all_pairs_distance	default	{BUILD}/level1/all_pairs_distance/all_pairs_distance_cuda	10000	{BUILD}/level1/all_pairs_distance	600	direct	PASS
ao_bench	default	{BUILD}/level1/ao_bench/ao_bench_cuda	100	{BUILD}/level1/ao_bench	900	verify.py	PASS
atomic_reduction	default	{BUILD}/level1/atomic_reduction/atomic_reduction_cuda	-	{BUILD}/level1/atomic_reduction	600	direct	VERIFICATION: PASS
background_subtraction	default	{BUILD}/level1/background_subtraction/background_subtraction_cuda	4096 2048 0 102	{BUILD}/level1/background_subtraction	600	direct	PASS
backprop	default	{BUILD}/level1/backprop/backprop_cuda	65536	{BUILD}/level1/backprop	600	direct	PASS
bezier_surface	default	{BUILD}/level1/bezier_surface/bezier_surface_cuda	-f {REPO}/level1/bezier_surface/data/control.txt -n 8192	{BUILD}/level1/bezier_surface	600	direct	PASS
bfs	default	{BUILD}/level1/bfs/bfs_cuda	{REPO}/level1/bfs/data/graph65536.txt	{BUILD}/level1/bfs	900	verify.py	PASS
bilateral_filter	default	{BUILD}/level1/bilateral_filter/bilateral_filter_cuda	2960 1440 0.5 0.5 1000	{BUILD}/level1/bilateral_filter	600	direct	PASS
binary_search	default	{BUILD}/level1/binary_search/binary_search_cuda	8388608 100	{BUILD}/level1/binary_search	600	direct	-
bitonic_sort	default	{BUILD}/level1/bitonic_sort/bitonic_sort_cuda	25 2	{BUILD}/level1/bitonic_sort	600	direct	PASS
black_scholes	default	{BUILD}/level1/black_scholes/black_scholes_cuda	-x 1048576	{BUILD}/level1/black_scholes	600	direct	-
block_scan	default	{BUILD}/level1/block_scan/block_scan_cuda	2227104 100	{BUILD}/level1/block_scan	600	direct	PASS
burgers_equation	default	{BUILD}/level1/burgers_equation/burgers_equation_cuda	8200 8100 100	{BUILD}/level1/burgers_equation	600	direct	PASS
burrows_wheeler_transform	default	{BUILD}/level1/burrows_wheeler_transform/burrows_wheeler_transform_cuda	10000000	{BUILD}/level1/burrows_wheeler_transform	600	direct	PASS
cg	default	{BUILD}/level1/cg/cg_cuda	-	{BUILD}/level1/cg	1200	direct	Verification    =               SUCCESSFUL
channel_shuffle	default	{BUILD}/level1/channel_shuffle/channel_shuffle_cuda	2 224 224 100	{BUILD}/level1/channel_shuffle	600	direct	-
color_histogram	default	{BUILD}/level1/color_histogram/color_histogram_cuda	-x 1048576	{BUILD}/level1/color_histogram	600	direct	Passed
daxpy	default	{BUILD}/level1/daxpy/daxpy_cuda	-	{BUILD}/level1/daxpy	900	direct	PASS
del_dot_vec_2d	default	{BUILD}/level1/del_dot_vec_2d/del_dot_vec_2d_cuda	-	{BUILD}/level1/del_dot_vec_2d	900	direct	PASS
energy	default	{BUILD}/level1/energy/energy_cuda	-	{BUILD}/level1/energy	900	direct	PASS
ep	default	{BUILD}/level1/ep/ep_cuda	-	{BUILD}/level1/ep	1200	direct	Verification    =               SUCCESSFUL
fdtd_2d	default	{BUILD}/level1/fdtd_2d/fdtd_2d_cuda	-	{BUILD}/level1/fdtd_2d	900	direct	PASS
fir	default	{BUILD}/level1/fir/fir_cuda	-y 1024 -x 4096	{BUILD}/level1/fir	600	direct	Passed
floyd_warshall	default	{BUILD}/level1/floyd_warshall/floyd_warshall_cuda	-	{BUILD}/level1/floyd_warshall	1200	direct	PASS
ft	default	{BUILD}/level1/ft/ft_cuda	-	{BUILD}/level1/ft	1200	direct	Verification    =               SUCCESSFUL
gaussian_elimination	default	{BUILD}/level1/gaussian_elimination/gaussian_elimination_cuda	-f {REPO}/level1/gaussian_elimination/data/matrix208.txt	{BUILD}/level1/gaussian_elimination	900	verify.py	PASS
graph_coloring	default	{BUILD}/level1/graph_coloring/graph_coloring_cuda	-	{BUILD}/level1/graph_coloring	900	direct	PASS
histogram	default	{BUILD}/level1/histogram/histogram_cuda	--i=100	{BUILD}/level1/histogram	600	direct	PASS
hotspot	default	{BUILD}/level1/hotspot/hotspot_cuda	512 2 2 {REPO}/level1/hotspot/data/temp_512 {REPO}/level1/hotspot/data/power_512 output.out	{BUILD}/level1/hotspot	900	verify.py	PASS
hotspot_3d	default	{BUILD}/level1/hotspot_3d/hotspot_3d_cuda	64 8 100 {REPO}/level1/hotspot_3d/data/power_64x8 {REPO}/level1/hotspot_3d/data/temp_64x8 output.out	{BUILD}/level1/hotspot_3d	900	verify.py	PASS
is	default	{BUILD}/level1/is/is_cuda	-	{BUILD}/level1/is	1200	direct	Verification    =               SUCCESSFUL
jacobi_2d	default	{BUILD}/level1/jacobi_2d/jacobi_2d_cuda	-	{BUILD}/level1/jacobi_2d	900	direct	PASS
ltimes	default	{BUILD}/level1/ltimes/ltimes_cuda	-	{BUILD}/level1/ltimes	900	direct	PASS
lud	default	{BUILD}/level1/lud/lud_cuda	-s 256 -v	{BUILD}/level1/lud	600	direct	-
mat_mat_shared	default	{BUILD}/level1/mat_mat_shared/mat_mat_shared_cuda	-	{BUILD}/level1/mat_mat_shared	900	direct	PASS
matvec_3d_stencil	default	{BUILD}/level1/matvec_3d_stencil/matvec_3d_stencil_cuda	-	{BUILD}/level1/matvec_3d_stencil	900	direct	PASS
mg	default	{BUILD}/level1/mg/mg_cuda	-	{BUILD}/level1/mg	1200	direct	Verification    =               SUCCESSFUL
murmurhash3	default	{BUILD}/level1/murmurhash3/murmurhash3_cuda	100000 100	{BUILD}/level1/murmurhash3	600	direct	SUCCESS
nbody	default	{BUILD}/level1/nbody/nbody_cuda	16000 10	{BUILD}/level1/nbody	600	direct	PASS
nearest_neighbor	default	{BUILD}/level1/nearest_neighbor/nearest_neighbor_cuda	{BUILD}/level1/nearest_neighbor/filelist_4 -r 5 -lat 30.0 -lng 90.0	{BUILD}/level1/nearest_neighbor	900	verify.py	PASS
needleman_wunsch	default	{BUILD}/level1/needleman_wunsch/needleman_wunsch_cuda	2048 10	{BUILD}/level1/needleman_wunsch	900	verify.py	PASS
pagerank	default	{BUILD}/level1/pagerank/pagerank_cuda	-i {BUILD}/level1/pagerank/data/16384.data	{BUILD}/level1/pagerank	600	direct	-
pathfinder	default	{BUILD}/level1/pathfinder/pathfinder_cuda	100000 100 20	{BUILD}/level1/pathfinder	900	verify.py	PASS
pressure	default	{BUILD}/level1/pressure/pressure_cuda	-	{BUILD}/level1/pressure	900	direct	PASS
spadd	default	{BUILD}/level1/spadd/spadd_cuda	-	{BUILD}/level1/spadd	900	direct	PASS
spgemm	default	{BUILD}/level1/spgemm/spgemm_cuda	-	{BUILD}/level1/spgemm	900	direct	PASS
spmv	default	{BUILD}/level1/spmv/spmv_cuda	-	{BUILD}/level1/spmv	900	direct	PASS
srad_v1	default	{BUILD}/level1/srad_v1/srad_v1_cuda	100 0.5 502 458 {REPO}/level1/srad_v1/data/image.pgm	{BUILD}/level1/srad_v1	900	verify.py	PASS
